Designator,Mid X,Mid Y,Rotation,Layer
C1,125.5,-106.975,90.0,top
C10,111.5,-119.5,270.0,top
C11,121.7,-107.0,270.0,top
C2,121.7,-103.1,270.0,top
C3,121.7,-91.0,90.0,top
C4,85.5,-106.4,180.0,top
C5,93.025,-95.2,0.0,top
C6,108.4,-103.5,180.0,top
C7,99.6,-109.4,180.0,top
C8,124.6,-91.0,90.0,top
C9,99.6,-106.6,180.0,top
D1,104.1,-93.0,0.0,top
D2,110.65,-84.5,180.0,top
GPS1,94.9,-98.5,0.0,top
J1,114.285,-80.0,180.0,bottom
J3,104.86,-119.1,0.0,top
J5,95.408,-83.631,180.0,bottom
PWR1,94.9,-92.4,0.0,top
Q1,85.4,-99.0625,90.0,top
Q2,85.4625,-94.1,270.0,top
R1,85.5,-103.5,0.0,top
R10,91.0,-98.5,180.0,top
R11,91.0,-104.4,180.0,top
R12,91.0,-110.4,180.0,top
R2,85.4625,-90.8,0.0,top
R9,91.025,-92.4,180.0,top
RX1,94.9,-104.4,0.0,top
S3,112.96,-92.4,180.0,top
S4,112.96,-110.4,180.0,top
TH1,84.4,-87.3,270.0,top
TX1,94.9,-110.4,0.0,top
U1,115.2625,-118.25,0.0,top
U2,123.6,-112.9,90.0,top
U3,123.595,-96.875,0.0,top
U4,100.0,-99.4375,90.0,top
U5,103.8,-109.4,180.0,top
U6,114.425,-101.505,90.0,top
