Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C9",0603,6,0.1uF,
"C4, C5, C6, C7, C8",0603,5,1uF,
D1,D_SOD-123,1,WSB5508L-2/TR,
D2,D_SMB,1,SMBJ16CA,
"GPS1, PWR1, RX1, TX1",0805,4,KT-0805G,
J1,1727036,1,1727036,
J3,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,
J5,RJ45_Amphenol_54602-x08_Horizontal,1,54602-908LF,
Q1,SOT-23,1,BSS138,
Q2,SOT-23,1,AO3401A,
"R1, R2",0603,2,10k,
"R10, R11, R12, R9",0603,4,2k2,
"S3, S4",MS12D17G2,2,MS-12D17-G2,
TH1,1206,1,Thermistor_PTC,
U1,SOT-23-6,1,SRV05-4,
U2,SO-8_3.9x4.9mm_P1.27mm,1,CH340N,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM121N,
U4,SOT-23-5,1,TJ5205SF5-5.0,
U5,SOT-23,1,SE8533X2-HF,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,DS8921M,
